Register: r=32, n=8, pickup_points=[0, 3, 7], power=14
Register: r=32, n=8, pickup_points=[0, 4, 7], power=14
Register: r=32, n=8, pickup_points=[0, 2, 7], power=15
Register: r=32, n=8, pickup_points=[0, 5, 7], power=15
Register: r=32, n=8, pickup_points=[0, 1, 7], power=16
Register: r=32, n=8, pickup_points=[0, 6, 7], power=16
Register: r=32, n=8, pickup_points=[0, 3, 6], power=18
Register: r=32, n=8, pickup_points=[0, 5, 6], power=18
Register: r=32, n=8, pickup_points=[0, 1, 6], power=19
Register: r=32, n=8, pickup_points=[0, 4, 5], power=20
Register: r=32, n=8, pickup_points=[0, 3, 5], power=21
Register: r=32, n=8, pickup_points=[0, 1, 5], power=23
Register: r=32, n=8, pickup_points=[0, 3, 4], power=23
